,PERSON_ID
286,1629640
287,1630553
288,1626169
290,203999
292,1627745
293,1630529
295,1630539
296,1630222
297,1630200
298,1626145
299,1627884
300,201599
301,202709
304,1628379
305,1630296
308,1630557
309,1628467
311,1630233
312,1628995
313,1629723
314,1627788
315,1628436
316,1630249
317,1629083
318,1630228
319,1628398
320,203897
321,1630237
322,203087
323,1629111
324,1629641
325,1627774
326,1627747
327,1627814
328,1630240
329,203458
330,202695
331,1630575
332,1630184
333,203081
334,1629642
335,1630587
336,1626172
337,201572
338,201577
339,1629712
340,201567
341,200768
342,1630994
343,1627789
344,1626168
345,1630177
346,1630572
347,1629611
348,1630544
349,1626246
350,1628374
351,1630230
352,1628997
353,1628998
355,1630231
356,1629726
358,202083
359,1630178
360,1630219
361,1630540
362,1630644
363,203468
364,204456
365,1630183
366,1629667
367,203926
368,201580
370,203585
373,1629162
374,203463
375,1629001
377,1629002
378,203114
380,201988
381,200794
382,1629003
383,1630558
384,1628378
385,1630596
386,1628370
387,202328
388,1630541
389,1629875
391,1629630
392,1629752
394,202693
395,1628420
396,202694
398,1628539
400,1630530
401,1627749
402,1627750
403,203488
404,1629004
406,1626204
407,1630612
408,1630174
409,203526
411,1627777
412,1630227
413,1630192
414,203457
415,1629669
416,1628373
417,1629134
418,203994
419,1628021
420,1629670
421,1626220
423,1629643
424,1629006
425,1630168
426,1630171
428,203506
430,203482
433,1626224
435,1626162
440,1629672
441,101108
442,1626166
443,203901
444,1627780
447,1630691
448,1629033
449,203486
450,1627751
451,1630197
452,1630582
453,1629673
454,1629645
455,1629008
456,203490
457,1626171
458,204001
460,203939
461,1629619
462,1626181
464,1630563
465,1627752
466,1630202
467,1630243
468,1629674
469,1630193
471,203944
472,1630559
473,1629629
474,1628432
475,1630194
476,1629675
477,1630208
478,1626196
479,203085
480,1629130
482,1629011
483,1630526
484,1629676
485,200765
486,201565
487,203082
488,1626179
489,201937
490,1626156
491,1630346
492,1627734
493,203967
495,203107
496,1630648
497,1629678
498,203471
500,1630206
502,1630578
503,1629012
504,1629013
505,1630549
506,1627783
508,1627732
509,1630250
510,1629014
512,1630579
514,1630606
515,203935
516,202397
517,1630188
519,1630270
520,203503
521,1630531
523,203917
524,202362
525,1630205
527,1630191
528,1629622
529,1630591
532,1630256
533,1628369
534,1630678
535,202066
537,1630179
539,1628464
540,1630271
541,1630560
542,202738
543,1629744
544,202691
545,202684
546,1630550
547,1629680
548,1629681
549,1630214
550,1630225
551,1630167
552,1629308
553,1626157
554,1629018
555,200782
556,1629730
557,1626167
558,202685
560,1627832
561,1629020
562,1630170
564,1629216
565,202696
566,1629731
567,1630532
568,1629021
569,1630688
570,202689
572,1629022
573,202322
577,203933
578,1629023
579,1630613
580,1629139
582,1630322
583,1630570
585,1629683
586,201566
587,1629632
588,1628401
589,202355
590,1630580
591,1630598
592,203952
593,1629623
594,1630314
595,1629684
596,1629026
597,101150
598,1630172
599,1630533
600,1629057
601,1629627
603,1629685
604,1626159
605,1630216
606,1630164
607,1626174
608,1630218
609,1626153
610,1630589
611,1630593
612,1628221
613,201152
614,1629027
615,1630209
617,1627826
